id_clientes,cliente,endereco,id_concessionarias,data_inclusao,data_atualizacao
182193,Carlos Rafael Santos,"Praça São Pedro da Estação, 8865",16,2025-03-30 07:55:01.574622+00:00,2025-03-30 07:55:01.574622+00:00
183725,Gustavo Pedro Oliveira,"Estrada Marechal do Pacífico, 1295",6,2025-04-04 15:35:02.065317+00:00,2025-04-04 15:35:02.065317+00:00
175359,Felipe Fábio Fernandes,"Praça Santana do Pacífico, 8541",8,2025-03-06 14:15:01.549927+00:00,2025-03-06 14:15:01.549927+00:00
176891,Rodrigo Fernando Carvalho,"Beco Quintino das Dunas, 8385",16,2025-03-11 21:55:02.132022+00:00,2025-03-11 21:55:02.132022+00:00
178423,Daniela Rafael Oliveira,"Rodovia Juscelino da Mata, 8216",28,2025-03-17 05:35:01.611485+00:00,2025-03-17 05:35:01.611485+00:00
179955,Gabriel Fernando Almeida,"Beco São João da Vida, 3582",24,2025-03-22 13:15:01.546876+00:00,2025-03-22 13:15:01.546876+00:00
180238,Simone Carla Cavalcanti,"Estrada Tocantins da Colina, 5822",13,2025-03-23 13:00:01.243427+00:00,2025-03-23 13:00:01.243427+00:00
181770,César Gustavo Castro,"Largo Quintino do Mar, 629",8,2025-03-28 20:40:01.356509+00:00,2025-03-28 20:40:01.356509+00:00
182182,Eduardo Ana Moura,"Avenida Doutor da Colina, 4181",1,2025-03-30 07:00:01.715691+00:00,2025-03-30 07:00:01.715691+00:00
182194,Beatriz das Ribeiro,"Praça Industrial do Progresso, 3668",28,2025-03-30 08:00:01.798189+00:00,2025-03-30 08:00:01.798189+00:00
183726,Ana Samuel Souza,"Alameda Paulista da Felicidade, 2347",2,2025-04-04 15:40:01.208058+00:00,2025-04-04 15:40:01.208058+00:00
175360,Clara da Cavalcanti,"Vila Marquês dos Pássaros, 5988",2,2025-03-06 14:20:01.789800+00:00,2025-03-06 14:20:01.789800+00:00
176892,Marcelo Felipe Silva,"Avenida Santo da Lua, 4276",25,2025-03-11 22:00:01.322626+00:00,2025-03-11 22:00:01.322626+00:00
178424,Lucas Alice Barbosa,"Estrada Juscelino das Rosas, 5739",2,2025-03-17 05:40:01.831360+00:00,2025-03-17 05:40:01.831360+00:00
179956,Rodrigo dos Lima,"Largo Monteiro da Praia, 6988",4,2025-03-22 13:20:01.753535+00:00,2025-03-22 13:20:01.753535+00:00
180239,Juliana Eduardo Barros,"Travessa Xavier dos Peixes, 5658",25,2025-03-23 13:05:01.394276+00:00,2025-03-23 13:05:01.394276+00:00
181771,Gabriela Clara Castro,"Rodovia Flores dos Coqueiros, 859",16,2025-03-28 20:45:01.593723+00:00,2025-03-28 20:45:01.593723+00:00
182183,Lucas Maria Fernandes,"Alameda Visconde dos Santos, 6388",9,2025-03-30 07:05:01.891009+00:00,2025-03-30 07:05:01.891009+00:00
182195,Cristina das Silva,"Praça Rainha do Porto, 4724",7,2025-03-30 08:05:01.983672+00:00,2025-03-30 08:05:01.983672+00:00
183727,Eduardo Carolina Oliveira,"Vila Flores do Mar, 3020",13,2025-04-04 15:45:01.377517+00:00,2025-04-04 15:45:01.377517+00:00
175361,Ana Lucas Monteiro,"Rua Principal da Liberdade, 6238",1,2025-03-06 14:25:02.053593+00:00,2025-03-06 14:25:02.053593+00:00
176893,Simone dos Almeida,"Praça Oliveira da Praia, 4219",13,2025-03-11 22:05:01.620017+00:00,2025-03-11 22:05:01.620017+00:00
178425,Henrique Fernando Santos,"Estrada Central do Campo, 1248",28,2025-03-17 05:45:02.030588+00:00,2025-03-17 05:45:02.030588+00:00
179957,Daniela e Cardoso,"Passagem São João da Mata, 748",28,2025-03-22 13:25:02.029447+00:00,2025-03-22 13:25:02.029447+00:00
180240,Larissa Fernando Campos,"Largo Principal do Lago, 9520",6,2025-03-23 13:10:01.550619+00:00,2025-03-23 13:10:01.550619+00:00
181772,Marcos João Santos,"Praça Marechal da Fonte, 3359",27,2025-03-28 20:50:01.827334+00:00,2025-03-28 20:50:01.827334+00:00
182184,Clara Larissa Carvalho,"Alameda Imperador da Liberdade, 6479",28,2025-03-30 07:10:02.088600+00:00,2025-03-30 07:10:02.088600+00:00
182196,Mateus Gustavo Fernandes,"Travessa Jardim das Rosas, 8093",28,2025-03-30 08:10:01.164371+00:00,2025-03-30 08:10:01.164371+00:00
183728,Leonardo Rosa Campos,"Beco Sete de Setembro da Harmonia, 1911",21,2025-04-04 15:50:01.542366+00:00,2025-04-04 15:50:01.542366+00:00
175362,Gustavo Fernando Barros,"Alameda Marechal do Lago, 3682",13,2025-03-06 14:30:02.115955+00:00,2025-03-06 14:30:02.115955+00:00
176894,Beatriz e Martins,"Largo Bandeirantes do Porto, 1933",13,2025-03-11 22:10:01.886181+00:00,2025-03-11 22:10:01.886181+00:00
178426,Caio Alice Pinto,"Travessa Sete de Setembro das Estrelas, 2847",5,2025-03-17 05:50:01.200923+00:00,2025-03-17 05:50:01.200923+00:00
179958,Cristina das Barros,"Passagem Central da Felicidade, 8524",6,2025-03-22 13:30:01.202757+00:00,2025-03-22 13:30:01.202757+00:00
180241,Isabela Francisco Lima,"Beco Imperador da Colina, 5128",28,2025-03-23 13:15:01.693788+00:00,2025-03-23 13:15:01.693788+00:00
181773,Nathalia do Almeida,"Passagem Palmeiras da Esperança, 6062",9,2025-03-28 20:55:02.094916+00:00,2025-03-28 20:55:02.094916+00:00
182185,Alexandre Juliana Dias,"Rodovia Xavier do Bosque, 9487",5,2025-03-30 07:15:01.278457+00:00,2025-03-30 07:15:01.278457+00:00
182197,César Luís Rodrigues,"Rua Independência da Mata, 8979",21,2025-03-30 08:15:01.356534+00:00,2025-03-30 08:15:01.356534+00:00
183729,Gabriela Fábio Souza,"Beco Santana dos Pinhais, 7120",5,2025-04-04 15:55:01.747699+00:00,2025-04-04 15:55:01.747699+00:00
175363,Aline Pedro Almeida,"Vila Paulista da Serra, 9637",28,2025-03-06 14:35:01.325455+00:00,2025-03-06 14:35:01.325455+00:00
176895,Simone Francisco Cardoso,"Alameda Savassi da Montanha, 8002",4,2025-03-11 22:15:02.193178+00:00,2025-03-11 22:15:02.193178+00:00
178427,Julia Juliana Lima,"Rodovia Padre da Serra, 5550",13,2025-03-17 05:55:01.388920+00:00,2025-03-17 05:55:01.388920+00:00
179959,Gustavo Larissa Castro,"Vila São Pedro da Colina, 4346",20,2025-03-22 13:35:01.415749+00:00,2025-03-22 13:35:01.415749+00:00
180242,Fernanda João Santos,"Alameda Savassi da Estação, 6055",28,2025-03-23 13:20:01.875850+00:00,2025-03-23 13:20:01.875850+00:00
181774,Juliana Felipe Ribeiro,"Vila Tiradentes da Serra, 2279",24,2025-03-28 21:00:01.390907+00:00,2025-03-28 21:00:01.390907+00:00
182186,Nathalia Larissa Costa,"Praça Vitória da Floresta, 5227",10,2025-03-30 07:20:01.435251+00:00,2025-03-30 07:20:01.435251+00:00
182198,Patrícia Eduardo Lima,"Estrada Voluntários do Mar, 1185",18,2025-03-30 08:20:01.512980+00:00,2025-03-30 08:20:01.512980+00:00
183730,Tiago Maria Moura,"Via Kennedy da Saúde, 9956",29,2025-04-04 16:00:01.953200+00:00,2025-04-04 16:00:01.953200+00:00
175364,Rafael das Silva,"Rodovia Bandeirantes dos Santos, 6712",13,2025-03-06 14:40:01.498747+00:00,2025-03-06 14:40:01.498747+00:00
176896,Vanessa dos Fernandes,"Travessa Vicente dos Pássaros, 5812",21,2025-03-11 22:20:01.358760+00:00,2025-03-11 22:20:01.358760+00:00
178428,Simone e Cavalcanti,"Avenida Savassi do Sol, 4851",2,2025-03-17 06:00:01.586875+00:00,2025-03-17 06:00:01.586875+00:00
179960,Daniela Marcos Santos,"Rodovia Internacional da Fonte, 7055",22,2025-03-22 13:40:01.722482+00:00,2025-03-22 13:40:01.722482+00:00
180243,Leonardo do Martins,"Beco Tocantins da Liberdade, 3979",1,2025-03-23 13:25:02.066033+00:00,2025-03-23 13:25:02.066033+00:00
181775,Sara Larissa Monteiro,"Vila Doutor das Acácias, 6986",17,2025-03-28 21:05:01.572846+00:00,2025-03-28 21:05:01.572846+00:00
182187,Daniela Francisco Pinto,"Rodovia Xavier da Estação, 6466",16,2025-03-30 07:25:01.639588+00:00,2025-03-30 07:25:01.639588+00:00
182199,Felipe Larissa Moura,"Estrada Santo do Porto, 3610",18,2025-03-30 08:25:01.795524+00:00,2025-03-30 08:25:01.795524+00:00
183731,Tiago Gustavo Monteiro,"Largo Zumbi do Campo, 5782",25,2025-04-04 16:05:01.150126+00:00,2025-04-04 16:05:01.150126+00:00
175365,Mariana Larissa Dias,"Travessa Doutor da Esperança, 8468",29,2025-03-06 14:45:01.686477+00:00,2025-03-06 14:45:01.686477+00:00
176897,Sara Lucas Rocha,"Avenida Palmeiras da Liberdade, 8387",5,2025-03-11 22:25:01.544873+00:00,2025-03-11 22:25:01.544873+00:00
178429,Felipe João Souza,"Travessa Visconde da Esperança, 4533",25,2025-03-17 06:05:02.024803+00:00,2025-03-17 06:05:02.024803+00:00
179961,Rafael Carla Cardoso,"Vila Savassi do Lago, 9310",21,2025-03-22 13:45:01.932203+00:00,2025-03-22 13:45:01.932203+00:00
180244,Renata Maria Oliveira,"Vila Flores da Prosperidade, 9530",3,2025-03-23 13:30:01.142869+00:00,2025-03-23 13:30:01.142869+00:00
181776,Beatriz Márcia Dias,"Avenida Doutor do Campo, 5794",23,2025-03-28 21:10:01.768764+00:00,2025-03-28 21:10:01.768764+00:00
182188,Sara Márcia Martins,"Passagem Voluntários dos Viajantes, 3473",11,2025-03-30 07:30:01.816500+00:00,2025-03-30 07:30:01.816500+00:00
182200,Alexandre Fernando Mendes,"Avenida São Pedro da Saúde, 4627",4,2025-03-30 08:30:02.127690+00:00,2025-03-30 08:30:02.127690+00:00
183732,Camila Luís Araújo,"Passagem Xavier da Aventura, 4812",23,2025-04-04 16:10:01.329216+00:00,2025-04-04 16:10:01.329216+00:00
175366,Tatiana José Martins,"Via Visconde da Harmonia, 7742",4,2025-03-06 14:50:01.871943+00:00,2025-03-06 14:50:01.871943+00:00
176898,Renata Clara Martins,"Alameda Oliveira da Colina, 6187",13,2025-03-11 22:30:01.658711+00:00,2025-03-11 22:30:01.658711+00:00
178430,Daniela Antônio Mendes,"Rua Xavier da Paz, 3846",27,2025-03-17 06:10:01.213119+00:00,2025-03-17 06:10:01.213119+00:00
179962,Leonardo Marcos Barros,"Travessa Libertadores da Floresta, 641",28,2025-03-22 13:50:02.130501+00:00,2025-03-22 13:50:02.130501+00:00
180245,Nathalia Carla Souza,"Passagem Oliveira das Estrelas, 8071",29,2025-03-23 13:35:01.278104+00:00,2025-03-23 13:35:01.278104+00:00
181777,Rebeca Eduardo Costa,"Beco Oliveira do Sol, 8035",15,2025-03-28 21:15:02.002458+00:00,2025-03-28 21:15:02.002458+00:00
182189,Vanessa Antônio Dias,"Largo Libertadores da Esperança, 6525",5,2025-03-30 07:35:01.740992+00:00,2025-03-30 07:35:01.740992+00:00
182201,Clara dos Lima,"Via Coronel da Fonte, 8034",13,2025-03-30 08:35:01.459878+00:00,2025-03-30 08:35:01.459878+00:00
183733,Gustavo Ana Moura,"Vila Santo do Vale, 4466",8,2025-04-04 16:15:01.512511+00:00,2025-04-04 16:15:01.512511+00:00
175367,Felipe de Araújo,"Vila Vitória da Vida, 6437",5,2025-03-06 14:55:02.059402+00:00,2025-03-06 14:55:02.059402+00:00
176899,Nathalia de Rocha,"Beco Jardim da Aventura, 9028",14,2025-03-11 22:35:01.859154+00:00,2025-03-11 22:35:01.859154+00:00
178431,Ana da Araújo,"Largo Voluntários das Américas, 5921",24,2025-03-17 06:15:01.502020+00:00,2025-03-17 06:15:01.502020+00:00
179963,Tatiana e Lima,"Passagem Santo do Bosque, 9307",19,2025-03-22 13:55:01.307686+00:00,2025-03-22 13:55:01.307686+00:00
180246,Mateus Eduardo Rocha,"Beco Xavier da Saúde, 4216",7,2025-03-23 13:40:01.410146+00:00,2025-03-23 13:40:01.410146+00:00
181778,Henrique Márcia Cardoso,"Travessa Kennedy do Futuro, 4703",29,2025-03-28 21:20:01.175035+00:00,2025-03-28 21:20:01.175035+00:00
182202,Juliana Rosa Cavalcanti,"Estrada Ipiranga da Mata, 2749",5,2025-03-30 08:40:01.672649+00:00,2025-03-30 08:40:01.672649+00:00
183734,Cristina Ricardo Rocha,"Rodovia Doutor da Pedra, 3536",6,2025-04-04 16:20:01.684378+00:00,2025-04-04 16:20:01.684378+00:00
175368,Larissa Antônio Moura,"Travessa Savassi da Serra, 3042",8,2025-03-06 15:00:01.235126+00:00,2025-03-06 15:00:01.235126+00:00
176900,Julia Sofia Dias,"Praça Santa dos Viajantes, 1271",3,2025-03-11 22:40:02.053577+00:00,2025-03-11 22:40:02.053577+00:00
178432,Larissa Ricardo Souza,"Rodovia Industrial da Estação, 9095",5,2025-03-17 06:20:01.749432+00:00,2025-03-17 06:20:01.749432+00:00
179964,Larissa Paula Gomes,"Avenida Santana das Rosas, 7801",15,2025-03-22 14:00:01.496996+00:00,2025-03-22 14:00:01.496996+00:00
180247,Lívia Juliana Barbosa,"Rodovia São João do Bosque, 7530",19,2025-03-23 13:45:01.565715+00:00,2025-03-23 13:45:01.565715+00:00
181779,Gustavo Pedro Araújo,"Via Duque da Montanha, 3008",19,2025-03-28 21:25:01.345183+00:00,2025-03-28 21:25:01.345183+00:00
182203,Leonardo Márcia Santos,"Rodovia Brasil do Bosque, 1431",11,2025-03-30 08:45:01.929931+00:00,2025-03-30 08:45:01.929931+00:00
183735,Nathalia Samuel Souza,"Vila Xavier da Liberdade, 5327",26,2025-04-04 16:25:01.891311+00:00,2025-04-04 16:25:01.891311+00:00
175369,Nathalia João Rodrigues,"Passagem Atlântica das Estrelas, 4655",13,2025-03-06 15:05:01.414450+00:00,2025-03-06 15:05:01.414450+00:00
176901,Mariana Eduardo Carvalho,"Passagem Duque da Estação, 7983",16,2025-03-11 22:45:01.242594+00:00,2025-03-11 22:45:01.242594+00:00
178433,Marcelo dos Lima,"Largo Palmeiras das Estrelas, 7578",28,2025-03-17 06:25:02.071478+00:00,2025-03-17 06:25:02.071478+00:00
179965,Vanessa da Araújo,"Praça Oliveira da Aventura, 1424",7,2025-03-22 14:05:01.739988+00:00,2025-03-22 14:05:01.739988+00:00
180248,Fernando Fábio Freitas,"Estrada Padre da Praia, 5530",6,2025-03-23 13:50:01.722832+00:00,2025-03-23 13:50:01.722832+00:00
181780,Luiz da Pereira,"Rua Bandeirantes do Porto, 4294",7,2025-03-28 21:30:01.509668+00:00,2025-03-28 21:30:01.509668+00:00
182204,Fernanda Marcos Mendes,"Avenida Rei da Harmonia, 1975",17,2025-03-30 08:50:02.125540+00:00,2025-03-30 08:50:02.125540+00:00
183736,Luiz Larissa Costa,"Rodovia Monteiro dos Navegantes, 4636",5,2025-04-04 16:30:01.909737+00:00,2025-04-04 16:30:01.909737+00:00
175370,Patrícia Gustavo Souza,"Rodovia Brasil da Harmonia, 3873",4,2025-03-06 15:10:01.569683+00:00,2025-03-06 15:10:01.569683+00:00
176902,Rafael de Silva,"Rodovia Amazonas da Montanha, 7124",29,2025-03-11 22:50:01.542793+00:00,2025-03-11 22:50:01.542793+00:00
178434,Bruno Lucas Mendes,"Alameda São João do Lago, 9939",29,2025-03-17 06:30:02.020222+00:00,2025-03-17 06:30:02.020222+00:00
179966,Gabriel Luís Lima,"Passagem Padre da Praia, 9637",13,2025-03-22 14:10:02.064391+00:00,2025-03-22 14:10:02.064391+00:00
180249,André Eduardo Freitas,"Praça Monteiro dos Navegantes, 5156",1,2025-03-23 13:55:01.893609+00:00,2025-03-23 13:55:01.893609+00:00
181781,Simone Ana Cardoso,"Rua Visconde da Liberdade, 4036",23,2025-03-28 21:35:01.424798+00:00,2025-03-28 21:35:01.424798+00:00
182205,Diego dos Moura,"Beco São João da Floresta, 7161",2,2025-03-30 08:55:01.330432+00:00,2025-03-30 08:55:01.330432+00:00
183737,Mateus Rosa Gomes,"Largo Xavier da Felicidade, 5000",5,2025-04-04 16:35:02.111897+00:00,2025-04-04 16:35:02.111897+00:00
175371,Isabela Pedro Silva,"Beco Nossa Senhora das Acácias, 980",27,2025-03-06 15:15:01.741570+00:00,2025-03-06 15:15:01.741570+00:00
176903,Ana Eduardo Barbosa,"Travessa Palmeiras dos Viajantes, 3932",28,2025-03-11 22:55:01.764215+00:00,2025-03-11 22:55:01.764215+00:00
178435,Fernando Eduardo Moura,"Beco Oliveira da Colina, 5399",2,2025-03-17 06:35:01.315797+00:00,2025-03-17 06:35:01.315797+00:00
179967,Carlos Luís Alves,"Rodovia Laranjeiras do Campo, 575",7,2025-03-22 14:15:01.259109+00:00,2025-03-22 14:15:01.259109+00:00
180250,Henrique Paula Barbosa,"Avenida Visconde das Acácias, 9948",25,2025-03-23 14:00:02.059035+00:00,2025-03-23 14:00:02.059035+00:00
181782,Marcos da Gomes,"Estrada Laranjeiras da Lua, 4413",6,2025-03-28 21:40:01.584398+00:00,2025-03-28 21:40:01.584398+00:00
182206,Vanessa Juliana Rocha,"Largo Barão da Floresta, 4034",11,2025-03-30 09:00:01.512317+00:00,2025-03-30 09:00:01.512317+00:00
183738,Tiago Leonardo Alves,"Passagem Padre das Américas, 7364",5,2025-04-04 16:40:01.294445+00:00,2025-04-04 16:40:01.294445+00:00
175372,Rodrigo João Rocha,"Largo Quintino Vinhedos, 3408",21,2025-03-06 15:20:01.918085+00:00,2025-03-06 15:20:01.918085+00:00
176904,Alexandre Ricardo Moura,"Passagem Duque dos Pinhais, 1540",13,2025-03-11 23:00:01.933021+00:00,2025-03-11 23:00:01.933021+00:00
178436,Ana Felipe Pinto,"Passagem Palmeiras dos Peixes, 7703",28,2025-03-17 06:40:01.558993+00:00,2025-03-17 06:40:01.558993+00:00
179968,Luiz Clara Araújo,"Travessa Internacional do Lago, 8874",18,2025-03-22 14:20:01.428644+00:00,2025-03-22 14:20:01.428644+00:00
180251,Gabriela Carolina Freitas,"Largo Marquês da Mata, 2967",5,2025-03-23 14:05:01.242884+00:00,2025-03-23 14:05:01.242884+00:00
181783,Gustavo Luís Mendes,"Rua Oliveira das Acácias, 5104",13,2025-03-28 21:45:01.939761+00:00,2025-03-28 21:45:01.939761+00:00
182207,Eduardo Fernando Barbosa,"Largo Duque da Mata, 6755",11,2025-03-30 09:05:01.704718+00:00,2025-03-30 09:05:01.704718+00:00
183739,Patrícia Fernando Cardoso,"Vila Paulista da Paz, 3262",5,2025-04-04 16:45:01.484794+00:00,2025-04-04 16:45:01.484794+00:00
175373,Julia dos Castro,"Passagem Principal do Campo, 4120",14,2025-03-06 15:25:01.126888+00:00,2025-03-06 15:25:01.126888+00:00
176905,Alexandre Rosa Martins,"Estrada Coronel da Esperança, 1309",19,2025-03-11 23:05:02.135519+00:00,2025-03-11 23:05:02.135519+00:00
178437,Diego Samuel Rocha,"Vila Palmeiras do Campo, 3030",29,2025-03-17 06:45:01.755516+00:00,2025-03-17 06:45:01.755516+00:00
179969,Rafael João Barbosa,"Largo Xavier da Estação, 9350",24,2025-03-22 14:25:01.634587+00:00,2025-03-22 14:25:01.634587+00:00
180252,Renata Ricardo Oliveira,"Via Kennedy da Felicidade, 4488",25,2025-03-23 14:10:01.413892+00:00,2025-03-23 14:10:01.413892+00:00
181784,Beatriz Carolina Campos,"Estrada Monteiro do Vale, 7201",14,2025-03-28 21:50:01.140328+00:00,2025-03-28 21:50:01.140328+00:00
182208,Diego Samuel Gomes,"Avenida Monteiro do Futuro, 3935",5,2025-03-30 09:10:01.889500+00:00,2025-03-30 09:10:01.889500+00:00
183740,Leonardo Maria Moura,"Beco Marechal da Tecnologia, 9594",29,2025-04-04 16:50:01.770046+00:00,2025-04-04 16:50:01.770046+00:00
175374,Larissa Fábio Barbosa,"Praça São Pedro da Prosperidade, 3264",29,2025-03-06 15:30:01.306555+00:00,2025-03-06 15:30:01.306555+00:00
176906,Carlos Larissa Nascimento,"Via Internacional da Saúde, 5842",20,2025-03-11 23:10:01.317157+00:00,2025-03-11 23:10:01.317157+00:00
178438,Cristina Maria Barbosa,"Praça São João dos Peixes, 6102",23,2025-03-17 06:50:01.970241+00:00,2025-03-17 06:50:01.970241+00:00
179970,Gustavo do Nascimento,"Rodovia Monteiro das Acácias, 2745",13,2025-03-22 14:30:01.834314+00:00,2025-03-22 14:30:01.834314+00:00
180253,Fernanda Sofia Carvalho,"Via Palmeiras das Estrelas, 7010",21,2025-03-23 14:15:01.600202+00:00,2025-03-23 14:15:01.600202+00:00
181785,Alexandre Francisco Cardoso,"Travessa Brasil da Estação, 9713",21,2025-03-28 21:55:01.293870+00:00,2025-03-28 21:55:01.293870+00:00
